probe_country,service_id,path_scope_stratum,msm_id,file_name,as_boundary_transition_key,as_boundary_observation_count,share_of_as_boundary_observations,rank_within_unit,is_top1_as_boundary_transition,is_top2_as_boundary_transition,is_top3_as_boundary_transition,group_total_hop_pair_segments,group_cross_as_boundary_segments,group_intra_as_hop_pair_segments,group_country_fallback_segments,cross_as_boundary_coverage_rate,intra_as_hop_pair_share,country_fallback_share,group_unique_probes,group_unique_probe_asns
CY,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,5504->1299,4,1.0,1,True,False,False,6,4,2,0,0.6666666666666666,0.3333333333333333,0.0,2,1
CY,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,5504->1299,4,1.0,1,True,False,False,6,4,2,0,0.6666666666666666,0.3333333333333333,0.0,2,1
DK,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,9158->1299,2,1.0,1,True,False,False,8,2,2,4,0.25,0.25,0.5,1,1
DK,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,9158->1299,2,1.0,1,True,False,False,8,2,2,4,0.25,0.25,0.5,1,1
EC,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,23520->1299,1,1.0,1,True,False,False,10,1,9,0,0.1,0.9,0.0,1,1
EE,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2586->6667,8,1.0,1,True,False,False,60,8,52,0,0.13333333333333333,0.8666666666666667,0.0,4,2
EE,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2586->6667,8,1.0,1,True,False,False,60,8,52,0,0.13333333333333333,0.8666666666666667,0.0,4,2
FI,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2603->1299,10,0.5,1,True,False,False,160,20,136,4,0.125,0.85,0.025,10,5
FI,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,719->6667,6,0.3,2,False,True,False,160,20,136,4,0.125,0.85,0.025,10,5
FI,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,49282->42708,4,0.2,3,False,False,True,160,20,136,4,0.125,0.85,0.025,10,5
FI,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2603->1299,10,0.5,1,True,False,False,160,20,136,4,0.125,0.85,0.025,10,5
FI,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,719->6667,6,0.3,2,False,True,False,160,20,136,4,0.125,0.85,0.025,10,5
FI,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,49282->42708,4,0.2,3,False,False,True,160,20,136,4,0.125,0.85,0.025,10,5
GQ,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,37529->6939,2,1.0,1,True,False,False,2,2,0,0,1.0,0.0,0.0,1,1
GQ,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,37529->6939,2,1.0,1,True,False,False,2,2,0,0,1.0,0.0,0.0,1,1
HN,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,263725->54082,8,0.6666666666666666,1,True,False,False,12,12,0,0,1.0,0.0,0.0,6,4
HN,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,64150->54082,4,0.3333333333333333,2,False,True,False,12,12,0,0,1.0,0.0,0.0,6,4
