landing_station_id,landing_station_name,landing_region_id,landing_region_label,latitude,longitude,region_assignment_method
batu-prahu-indonesia,"Batu Prahu, Indonesia",landing_region_0134,"Batu Prahu, Indonesia",-3.079924874677993,106.54745969362382,geographic_connected_component
bauang-philippines,"Bauang, Philippines",landing_region_0135,"Bauang, Philippines",16.51402480000008,120.35558309999966,geographic_connected_component
baubau-indonesia,"Baubau, Indonesia",landing_region_0136,"Baubau, Indonesia",-5.507063767817269,122.59688680062212,geographic_connected_component
bawean-indonesia,"Bawean, Indonesia",landing_region_0137,"Bawean, Indonesia",-5.79349087209221,112.5856147684581,geographic_connected_component
baxedes-greece,"Baxedes, Greece",landing_region_0138,"Baxedes, Greece",36.47742641187417,25.40234207588245,geographic_connected_component
bay-of-london-united-kingdom,"Bay of London, United Kingdom",landing_region_0021,"Aikerness Bay, United Kingdom",59.19229999999987,-2.766219999999832,geographic_connected_component
bay-of-tuquoy-united-kingdom,"Bay of Tuquoy, United Kingdom",landing_region_0021,"Aikerness Bay, United Kingdom",59.27976761462974,-2.939523291645224,geographic_connected_component
beausejour-guadeloupe,"Beausejour, Guadeloupe",landing_region_0106,"Baie-Mahault, Guadeloupe",16.303571371032675,-61.07386931576003,geographic_connected_component
beaver-island-mi-united-states,"Beaver Island, MI, United States",landing_region_0139,"Beaver Island, MI, United States",45.740931669999895,-85.53534242999994,geographic_connected_component
beculuk-indonesia,"Beculuk, Indonesia",landing_region_0140,"Beculuk, Indonesia",-8.615634129813643,114.09706372041353,geographic_connected_component
beigan-taiwan,"Beigan, Taiwan",landing_region_0141,"Beigan, Taiwan",26.225399999999755,119.98859,geographic_connected_component
beihai-china,"Beihai, China",landing_region_0142,"Beihai, China",21.484500999999632,109.10530900000046,geographic_connected_component
beira-mozambique,"Beira, Mozambique",landing_region_0143,"Beira, Mozambique",-19.82010899999981,34.851010000000386,geographic_connected_component
beirut-lebanon,"Beirut, Lebanon",landing_region_0144,"Beirut, Lebanon",33.89247448375563,35.485205347291476,geographic_connected_component
bejaia-algeria,"Bejaia, Algeria",landing_region_0145,"Bejaia, Algeria",36.75152580000031,5.05568370000011,geographic_connected_component
belize-city-belize,"Belize City, Belize",landing_region_0146,"Belize City, Belize",17.49554695903865,-88.18161378425482,geographic_connected_component
bella-bella-bc-canada,"Bella Bella, BC, Canada",landing_region_0147,"Bella Bella, BC, Canada",52.16114984088366,-128.14469976604073,geographic_connected_component
bella-coola-bc-canada,"Bella Coola, BC, Canada",landing_region_0148,"Bella Coola, BC, Canada",52.37214793561003,-126.75276468552713,geographic_connected_component
bellport-ny-united-states,"Bellport, NY, United States",landing_region_0149,"Bellport, NY, United States",40.75554434597573,-72.93781354794966,geographic_connected_component
belm-brazil,"Belém, Brazil",landing_region_0150,"Belém, Brazil",-1.458588999999789,-48.510443,geographic_connected_component
belm-do-solimes-brazil,"Belém do Solimões, Brazil",landing_region_0151,"Belém do Solimões, Brazil",-4.037852188000214,-69.52181003999964,geographic_connected_component
belmont-united-kingdom,"Belmont, United Kingdom",landing_region_0152,"Belmont, United Kingdom",60.6873599999995,-0.966809999999724,geographic_connected_component
benculuk-indonesia,"Benculuk, Indonesia",landing_region_0140,"Beculuk, Indonesia",-8.615634129813643,114.09706372041353,geographic_connected_component
benghazi-libya,"Benghazi, Libya",landing_region_0153,"Benghazi, Libya",32.11658375707056,20.066759238613432,geographic_connected_component
bengkalis-indonesia,"Bengkalis, Indonesia",landing_region_0154,"Bengkalis, Indonesia",1.489196199854866,102.08010445990314,geographic_connected_component
benjamin-constant-brazil,"Benjamin Constant, Brazil",landing_region_0087,"Atalaia do Norte, Brazil",-4.379887185000328,-70.0287800300003,geographic_connected_component
benton-harbor-mi-united-states,"Benton Harbor, MI, United States",landing_region_0155,"Benton Harbor, MI, United States",42.11623568999983,-86.45448807999998,geographic_connected_component
bequia-saint-vincent-and-the-grenadines,"Bequia, Saint Vincent and the Grenadines",landing_region_0156,"Bequia, Saint Vincent and the Grenadines",12.99756419905372,-61.24470659708128,geographic_connected_component
berbera-somalia,"Berbera, Somalia",landing_region_0157,"Berbera, Somalia",10.43511582934602,45.01088219296272,geographic_connected_component
bergen-norway,"Bergen, Norway",landing_region_0158,"Bergen, Norway",60.3907070886836,5.332751777721427,geographic_connected_component
beverwijk-netherlands,"Beverwijk, Netherlands",landing_region_0159,"Beverwijk, Netherlands",52.48631265079464,4.656906873847417,geographic_connected_component
biak-indonesia,"Biak, Indonesia",landing_region_0160,"Biak, Indonesia",-1.16347173352822,136.053298166411,geographic_connected_component
bic-qc-canada,"Bic, QC, Canada",landing_region_0161,"Bic, QC, Canada",48.37278902244084,-68.70931561967622,geographic_connected_component
bidos-brazil,"Óbidos, Brazil",landing_region_0040,"Alenquer, Brazil",-1.913198033000186,-55.51623128999993,geographic_connected_component
