country,corridor_id,corridor_label,observation_mass,raw_segment_count_with_corridor_feasible,unique_atomic_segments,unique_traceroutes,unique_probes,unique_probe_asns,share_of_country_observation_mass,rank_within_country,is_top1_corridor,is_top2_corridor,is_top3_corridor,domestic_segment_mass,international_segment_mass
NZ,landing_region_0041::landing_region_0799,landing_region_0041 -> landing_region_0799,14.0,14,14,14,7,2,0.05982905982905983,4,False,False,False,0.0,14.0
NZ,landing_region_0271::landing_region_0799,landing_region_0271 -> landing_region_0799,14.0,14,14,14,7,2,0.05982905982905983,5,False,False,False,14.0,0.0
NZ,landing_region_0089::landing_region_0271,landing_region_0089 -> landing_region_0271,9.0,9,9,8,4,3,0.038461538461538464,6,False,False,False,9.0,0.0
NZ,landing_region_0089::landing_region_0089,landing_region_0089 -> landing_region_0089,8.0,8,8,8,5,1,0.03418803418803419,7,False,False,False,8.0,0.0
NZ,landing_region_0271::landing_region_0362,landing_region_0271 -> landing_region_0362,6.0,6,6,6,3,2,0.02564102564102564,8,False,False,False,6.0,0.0
NZ,landing_region_0089::landing_region_0799,landing_region_0089 -> landing_region_0799,1.0,1,1,1,1,1,0.004273504273504274,9,False,False,False,1.0,0.0
PA,landing_region_0107::landing_region_0287,landing_region_0107 -> landing_region_0287,2.0,2,2,2,1,1,1.0,1,True,False,False,2.0,0.0
PE,landing_region_0591::landing_region_0975,landing_region_0591 -> landing_region_0975,17.0,17,17,17,9,6,1.0,1,True,False,False,0.0,17.0
PG,landing_region_0041::landing_region_0758,landing_region_0041 -> landing_region_0758,2.0,2,2,2,1,1,1.0,1,True,False,False,0.0,2.0
PH,landing_region_0133::landing_region_0250,landing_region_0133 -> landing_region_0250,84.1,95,95,67,36,19,0.5532894736842104,1,True,False,False,84.1,0.0
PH,landing_region_0133::landing_region_0230,landing_region_0133 -> landing_region_0230,12.5,25,25,25,16,8,0.08223684210526316,2,False,True,False,0.0,12.5
PH,landing_region_0230::landing_region_0250,landing_region_0230 -> landing_region_0250,12.5,25,25,25,16,8,0.08223684210526316,3,False,False,True,0.0,12.5
PH,landing_region_0133::landing_region_0266,landing_region_0133 -> landing_region_0266,8.5,17,17,17,13,7,0.05592105263157895,4,False,False,False,0.0,8.5
PH,landing_region_0250::landing_region_0266,landing_region_0250 -> landing_region_0266,8.5,17,17,17,13,7,0.05592105263157895,5,False,False,False,0.0,8.5
PH,landing_region_0133::landing_region_0133,landing_region_0133 -> landing_region_0133,5.3,13,13,11,7,4,0.034868421052631576,6,False,False,False,5.3,0.0
PH,landing_region_0133::landing_region_0743,landing_region_0133 -> landing_region_0743,1.6,8,8,4,2,2,0.010526315789473684,7,False,False,False,1.6,0.0
PH,landing_region_0250::landing_region_0743,landing_region_0250 -> landing_region_0743,1.6,8,8,4,2,2,0.010526315789473684,8,False,False,False,1.6,0.0
PH,landing_region_0132::landing_region_0133,landing_region_0132 -> landing_region_0133,1.0,2,2,2,2,2,0.006578947368421052,9,False,False,False,0.0,1.0
PH,landing_region_0132::landing_region_0250,landing_region_0132 -> landing_region_0250,1.0,2,2,2,2,2,0.006578947368421052,10,False,False,False,0.0,1.0
PH,landing_region_0098::landing_region_0133,landing_region_0098 -> landing_region_0133,0.8,4,4,4,2,2,0.005263157894736842,11,False,False,False,0.8,0.0
PH,landing_region_0133::landing_region_0172,landing_region_0133 -> landing_region_0172,0.8,4,4,2,1,1,0.005263157894736842,12,False,False,False,0.8,0.0
PH,landing_region_0133::landing_region_0254,landing_region_0133 -> landing_region_0254,0.8,4,4,4,2,2,0.005263157894736842,13,False,False,False,0.8,0.0
PH,landing_region_0133::landing_region_0815,landing_region_0133 -> landing_region_0815,0.8,4,4,2,1,1,0.005263157894736842,14,False,False,False,0.8,0.0
PH,landing_region_0133::landing_region_0835,landing_region_0133 -> landing_region_0835,0.8,4,4,2,1,1,0.005263157894736842,15,False,False,False,0.8,0.0
PH,landing_region_0250::landing_region_0254,landing_region_0250 -> landing_region_0254,0.8,4,4,4,2,2,0.005263157894736842,16,False,False,False,0.8,0.0
PH,landing_region_0045::landing_region_0133,landing_region_0045 -> landing_region_0133,0.6666666666666666,2,2,2,1,1,0.0043859649122807015,17,False,False,False,0.6666666666666666,0.0
PH,landing_region_0045::landing_region_0250,landing_region_0045 -> landing_region_0250,0.6666666666666666,2,2,2,1,1,0.0043859649122807015,18,False,False,False,0.6666666666666666,0.0
PH,landing_region_0250::landing_region_0570,landing_region_0250 -> landing_region_0570,0.6666666666666666,2,2,2,1,1,0.0043859649122807015,19,False,False,False,0.6666666666666666,0.0
PH,landing_region_0133::landing_region_0179,landing_region_0133 -> landing_region_0179,0.5,1,1,1,1,1,0.003289473684210526,20,False,False,False,0.5,0.0
PH,landing_region_0133::landing_region_0216,landing_region_0133 -> landing_region_0216,0.5,2,2,2,1,1,0.003289473684210526,21,False,False,False,0.5,0.0
PH,landing_region_0133::landing_region_0224,landing_region_0133 -> landing_region_0224,0.5,2,2,2,1,1,0.003289473684210526,22,False,False,False,0.5,0.0
