country,msm_id,file_name,network_transition_key,network_transition_representation,hop_pair_as_class,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
NG,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:NG->GH,country_fallback,country_fallback,6,6,0.14285714285714285,2,False,True,False,True,42,22,13,0,6
NG,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,37282->37282,as_transition,intra_as_hop_pair,4,4,0.09523809523809523,3,False,False,True,False,42,22,13,0,4
NG,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,30844->30844,as_transition,intra_as_hop_pair,2,2,0.047619047619047616,4,False,False,False,False,42,22,13,0,2
NG,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,37529->37529,as_transition,intra_as_hop_pair,1,1,0.023809523809523808,5,False,False,False,False,42,22,13,0,1
NO,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,29695->29695,as_transition,intra_as_hop_pair,20,20,0.4166666666666667,1,True,False,False,False,48,20,8,20,0
NO,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,56655->56655,as_transition,intra_as_hop_pair,10,10,0.20833333333333334,2,False,True,False,False,48,20,8,10,0
NO,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,224->224,as_transition,intra_as_hop_pair,6,6,0.125,3,False,False,True,False,48,20,8,6,0
NO,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,49409->57829,as_transition,cross_as_transition,4,4,0.08333333333333333,4,False,False,False,False,48,20,8,4,0
NO,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,25400->25400,as_transition,intra_as_hop_pair,4,4,0.08333333333333333,5,False,False,False,False,48,20,8,4,0
NO,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,48144->50304,as_transition,cross_as_transition,2,2,0.041666666666666664,6,False,False,False,False,48,20,8,2,0
NO,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,50304->50304,as_transition,intra_as_hop_pair,2,2,0.041666666666666664,7,False,False,False,False,48,20,8,2,0
NU,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,55885->38800,as_transition,cross_as_transition,2,2,1.0,1,True,False,False,False,2,1,0,0,2
NZ,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,64073->64073,as_transition,intra_as_hop_pair,57,57,0.44881889763779526,1,True,False,False,False,127,45,15,57,0
NZ,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,56030->56030,as_transition,intra_as_hop_pair,26,26,0.2047244094488189,2,False,True,False,False,127,45,15,26,0
NZ,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:NZ->NZ,country_fallback,country_fallback,14,14,0.11023622047244094,3,False,False,True,True,127,45,15,14,0
NZ,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,55850->55850,as_transition,intra_as_hop_pair,14,14,0.11023622047244094,4,False,False,False,False,127,45,15,14,0
NZ,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,4771->7578,as_transition,cross_as_transition,8,8,0.06299212598425197,5,False,False,False,False,127,45,15,0,8
NZ,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,6939->6939,as_transition,intra_as_hop_pair,4,4,0.031496062992125984,6,False,False,False,False,127,45,15,0,4
NZ,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,7578->7578,as_transition,intra_as_hop_pair,2,2,0.015748031496062992,7,False,False,False,False,127,45,15,0,2
NZ,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,24324->24324,as_transition,intra_as_hop_pair,2,2,0.015748031496062992,8,False,False,False,False,127,45,15,2,0
PE,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,12956->12956,as_transition,intra_as_hop_pair,28,28,0.6086956521739131,1,True,False,False,False,46,25,18,0,28
PE,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,3356->3549,as_transition,cross_as_transition,16,16,0.34782608695652173,2,False,True,False,False,46,25,18,0,16
PE,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,3549->3549,as_transition,intra_as_hop_pair,2,2,0.043478260869565216,3,False,False,True,False,46,25,18,0,2
PG,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,17828->6939,as_transition,cross_as_transition,2,2,1.0,1,True,False,False,False,2,1,1,0,2
PH,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,9299->9299,as_transition,intra_as_hop_pair,18,18,0.3157894736842105,1,True,False,False,False,57,29,16,4,14
PH,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,137074->137074,as_transition,intra_as_hop_pair,8,8,0.14035087719298245,2,False,True,False,False,57,29,16,0,8
PH,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,134707->134707,as_transition,intra_as_hop_pair,6,6,0.10526315789473684,3,False,False,True,False,57,29,16,0,6
PH,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,17639->17639,as_transition,intra_as_hop_pair,5,5,0.08771929824561403,4,False,False,False,False,57,29,16,0,5
PH,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,55821->55821,as_transition,intra_as_hop_pair,4,4,0.07017543859649122,5,False,False,False,False,57,29,16,0,4
PH,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,18187->44324,as_transition,cross_as_transition,4,4,0.07017543859649122,6,False,False,False,False,57,29,16,0,4
PH,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,62->9821,as_transition,cross_as_transition,2,2,0.03508771929824561,7,False,False,False,False,57,29,16,0,2
PH,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,45209->9821,as_transition,cross_as_transition,2,2,0.03508771929824561,8,False,False,False,False,57,29,16,2,0
PH,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,9821->9821,as_transition,intra_as_hop_pair,2,2,0.03508771929824561,9,False,False,False,False,57,29,16,0,2
PH,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,3491->3491,as_transition,intra_as_hop_pair,2,2,0.03508771929824561,10,False,False,False,False,57,29,16,0,2
PH,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,132400->134707,as_transition,cross_as_transition,2,2,0.03508771929824561,11,False,False,False,False,57,29,16,2,0
PH,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,137818->132021,as_transition,cross_as_transition,2,2,0.03508771929824561,12,False,False,False,False,57,29,16,2,0
PR,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,5786->20080,as_transition,cross_as_transition,2,2,0.2857142857142857,1,True,False,False,False,7,4,3,0,2
PR,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,14638->23520,as_transition,cross_as_transition,2,2,0.2857142857142857,2,False,True,False,False,7,4,3,0,2
PR,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,23114->23114,as_transition,intra_as_hop_pair,2,2,0.2857142857142857,3,False,False,True,False,7,4,3,0,2
PR,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,23520->23520,as_transition,intra_as_hop_pair,1,1,0.14285714285714285,4,False,False,False,False,7,4,3,0,1
PT,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,6453->6453,as_transition,intra_as_hop_pair,2,2,1.0,1,True,False,False,False,2,1,1,0,2
