country,msm_id,file_name,network_transition_key,network_transition_representation,hop_pair_as_class,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
SE,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,1257->1257,as_transition,intra_as_hop_pair,14,14,0.052830188679245285,5,False,False,False,False,265,120,50,6,8
SE,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:SE->SE,country_fallback,country_fallback,12,12,0.045283018867924525,6,False,False,False,True,265,120,50,12,0
SE,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,8434->8434,as_transition,intra_as_hop_pair,8,8,0.03018867924528302,7,False,False,False,False,265,120,50,8,0
SE,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,34244->34244,as_transition,intra_as_hop_pair,6,6,0.022641509433962263,8,False,False,False,False,265,120,50,6,0
SE,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,39351->39351,as_transition,intra_as_hop_pair,4,4,0.01509433962264151,9,False,False,False,False,265,120,50,4,0
SE,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,3301->3301,as_transition,intra_as_hop_pair,4,4,0.01509433962264151,10,False,False,False,False,265,120,50,4,0
SE,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,8434->29518,as_transition,cross_as_transition,2,2,0.007547169811320755,11,False,False,False,False,265,120,50,2,0
SG,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,4637->4637,as_transition,intra_as_hop_pair,31,31,0.25833333333333336,1,True,False,False,False,120,75,36,0,31
SG,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,15412->4826,as_transition,cross_as_transition,25,25,0.20833333333333334,2,False,True,False,False,120,75,36,0,25
SG,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:SG->AU,country_fallback,country_fallback,21,21,0.175,3,False,False,True,True,120,75,36,0,21
SG,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,45430->4826,as_transition,cross_as_transition,16,16,0.13333333333333333,4,False,False,False,False,120,75,36,0,16
SG,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:SG->LK,country_fallback,country_fallback,7,7,0.058333333333333334,5,False,False,False,True,120,75,36,0,7
SG,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,7575->7575,as_transition,intra_as_hop_pair,4,4,0.03333333333333333,6,False,False,False,False,120,75,36,0,4
SG,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,9002->4826,as_transition,cross_as_transition,4,4,0.03333333333333333,7,False,False,False,False,120,75,36,0,4
SG,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,1273->1273,as_transition,intra_as_hop_pair,4,4,0.03333333333333333,8,False,False,False,False,120,75,36,0,4
SG,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:SG->ID,country_fallback,country_fallback,4,4,0.03333333333333333,9,False,False,False,True,120,75,36,0,4
SG,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,24489->7575,as_transition,cross_as_transition,3,3,0.025,10,False,False,False,False,120,75,36,0,3
SG,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,18403->4826,as_transition,cross_as_transition,1,1,0.008333333333333333,11,False,False,False,False,120,75,36,0,1
SN,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,8346->6453,as_transition,cross_as_transition,2,2,1.0,1,True,False,False,False,2,1,1,0,2
TG,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:TG->NG,country_fallback,country_fallback,2,2,1.0,1,True,False,False,True,2,1,1,0,2
TH,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,38040->38040,as_transition,intra_as_hop_pair,1,1,1.0,1,True,False,False,False,1,1,0,0,1
TO,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,24390->24390,as_transition,intra_as_hop_pair,2,2,1.0,1,True,False,False,False,2,1,1,0,2
TR,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:TR->GR,country_fallback,country_fallback,16,16,1.0,1,True,False,False,True,16,8,3,0,16
TW,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:TW->TW,country_fallback,country_fallback,37,37,0.4805194805194805,1,True,False,False,True,77,38,13,37,0
TW,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:TW->SG,country_fallback,country_fallback,9,9,0.11688311688311688,2,False,True,False,True,77,38,13,0,9
TW,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,6939->6939,as_transition,intra_as_hop_pair,8,8,0.1038961038961039,3,False,False,True,False,77,38,13,0,8
TW,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,4780->4780,as_transition,intra_as_hop_pair,6,6,0.07792207792207792,4,False,False,False,False,77,38,13,6,0
TW,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,1659->1659,as_transition,intra_as_hop_pair,6,6,0.07792207792207792,5,False,False,False,False,77,38,13,6,0
TW,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,3462->3462,as_transition,intra_as_hop_pair,4,4,0.05194805194805195,6,False,False,False,False,77,38,13,4,0
TW,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,7539->7539,as_transition,intra_as_hop_pair,4,4,0.05194805194805195,7,False,False,False,False,77,38,13,4,0
